"group","longitude","latitude"
5,-4.87168,55.873926
5,-4.826074,55.929541
5,-4.584082,55.938672
5,-4.844092,56.051172
5,-4.800293,56.15835
5,-4.9271,56.028076
5,-5.092822,55.987305
5,-5.2146,55.888867
5,-5.245605,55.929248
5,-5.222949,56.06582
5,-4.996973,56.23335
5,-5.383447,56.019238
5,-5.418896,55.975244
5,-5.38584,55.770117
5,-5.556445,55.3896
5,-5.646533,55.326855
5,-5.768213,55.362646
5,-5.681348,55.623975
5,-5.504492,55.802393
5,-5.622852,55.813135
5,-5.60957,56.055273
5,-5.534961,56.25083
5,-5.391943,56.514795
5,-5.188379,56.758057
5,-5.652441,56.531982
5,-5.864844,56.561865
5,-5.936768,56.605713
5,-5.968896,56.689893
5,-6.132764,56.718018
5,-5.730615,56.853076
5,-5.861426,56.902686
5,-5.736279,56.960645
5,-5.591309,57.102344
5,-5.561914,57.232715
5,-5.656348,57.334082
5,-5.794922,57.378809
5,-5.801953,57.468018
5,-5.581787,57.546777
5,-5.67876,57.57168
5,-5.744922,57.668311
5,-5.60835,57.881348
5,-5.157227,57.881348
5,-5.413184,58.069727
5,-5.351367,58.143701
5,-5.338281,58.238721
5,-5.008301,58.262646
5,-5.090137,58.384521
5,-5.066504,58.520215
5,-4.975635,58.580322
5,-4.809619,58.5729
5,-4.71543,58.51001
5,-4.491895,58.568457
5,-4.433252,58.512842
5,-3.259131,58.65
5,-3.053076,58.634814
5,-3.112891,58.408887
5,-3.212354,58.32124
5,-3.990039,57.959033
5,-4.035596,57.852002
5,-3.857129,57.818555
5,-4.078418,57.677051
5,-4.134521,57.577734
5,-3.294531,57.710156
5,-3.036035,57.672314
5,-2.074072,57.702393
5,-1.867383,57.612354
5,-1.780664,57.474023
5,-2.020312,57.258887
5,-2.260254,56.86333
5,-2.500977,56.636572
5,-2.680957,56.514404
5,-3.309961,56.363477
5,-2.885156,56.39751
5,-2.652734,56.318262
5,-2.674268,56.253418
5,-2.767578,56.202148
5,-2.979785,56.194092
5,-3.178223,56.080127
5,-3.362256,56.027637
5,-3.789062,56.095215
5,-3.607812,56.016016
5,-3.04873,55.951953
5,-2.836865,56.02627
5,-2.599316,56.027295
5,-2.14707,55.902979
5,-1.655371,55.570361
5,-1.422656,55.026416
5,-1.232422,54.703711
5,-0.671387,54.503906
5,-0.084375,54.118066
5,-0.205566,54.021729
5,0.115332,53.609277
5,-0.07373,53.643652
5,-0.27002,53.736768
5,-0.659912,53.724023
5,-0.293701,53.692334
5,0.12832,53.468262
5,0.270996,53.335498
5,0.355762,53.159961
5,0.045898,52.905615
5,0.279785,52.808691
5,0.381934,52.825195
5,0.558789,52.966943
5,1.271289,52.924561
5,1.656738,52.753711
5,1.743359,52.578516
5,1.746582,52.468994
5,1.591406,52.119775
5,1.413477,51.994775
5,1.316797,51.956934
5,1.232422,51.97124
5,1.274414,51.845361
5,1.101172,51.785449
5,0.955078,51.807812
5,0.752246,51.72959
5,0.898047,51.689404
5,0.927441,51.646631
5,0.890918,51.571436
5,0.424512,51.465625
5,0.52832,51.484473
5,0.686523,51.386572
5,0.889355,51.359521
5,1.414941,51.363281
5,1.397559,51.182031
5,1.044434,51.047266
5,0.960156,50.925879
5,0.772363,50.933984
5,0.205078,50.763037
5,-0.203906,50.814355
5,-0.785254,50.76543
5,-1.416455,50.896875
5,-1.334473,50.820801
5,-1.60083,50.732861
5,-2.031055,50.725391
5,-1.962061,50.627783
5,-2.03584,50.603076
5,-2.350146,50.637402
5,-2.433447,50.599219
5,-2.776953,50.705566
5,-2.999414,50.716602
5,-3.40459,50.632422
5,-3.485449,50.547949
5,-3.584375,50.321826
5,-3.679785,50.239941
5,-3.793359,50.229248
5,-4.19458,50.393311
5,-4.727979,50.290479
5,-5.009521,50.160742
5,-5.118506,50.03833
5,-5.225244,50.021387
5,-5.433984,50.104443
5,-5.622119,50.050684
5,-5.655176,50.077246
5,-5.65625,50.131885
5,-5.570654,50.196973
5,-5.342285,50.246143
5,-5.004443,50.495264
5,-4.893555,50.533691
5,-4.58291,50.776367
5,-4.523096,50.977441
5,-4.296484,51.027148
5,-4.188184,51.188525
5,-3.842334,51.230908
5,-3.135986,51.205029
5,-2.433057,51.740723
5,-2.742139,51.581104
6,-4.154883,53.302832
6,-4.049365,53.305762
6,-4.373047,53.13418
6,-4.553223,53.260449
6,-4.567871,53.386475
6,-4.315088,53.417236
6,-4.154883,53.302832
7,-2.662061,59.230176
7,-2.603613,59.289307
7,-2.406982,59.297559
7,-2.548877,59.231348
7,-2.662061,59.230176
8,-1.067871,60.502295
8,-1.165527,60.603906
8,-1.093311,60.720215
8,-1.005615,60.716504
8,-1.067871,60.502295
9,-1.287402,60.467041
9,-1.235742,60.485303
9,-1.157764,60.417725
9,-1.052441,60.444482
9,-1.199316,60.006592
9,-1.299463,59.878662
9,-1.355859,59.911133
9,-1.290918,60.153467
9,-1.322803,60.188379
9,-1.481494,60.173389
9,-1.499121,60.221777
9,-1.641357,60.236768
9,-1.66377,60.28252
9,-1.374609,60.33291
9,-1.449561,60.468555
9,-1.571777,60.494434
9,-1.414209,60.59873
9,-1.301709,60.607666
9,-1.287402,60.467041
10,-0.774316,60.800488
10,-0.825488,60.683936
10,-0.922266,60.697266
10,-0.91582,60.810449
10,-0.801807,60.83125
10,-0.774316,60.800488
11,-3.222119,58.780957
11,-3.367188,58.839746
11,-3.394727,58.909619
11,-3.271924,58.905273
